	        日期              地點		10/02(一)	10/03(二)	10/04(三)	10/05(四)	10/06(五)	10/07(六)	10/08(日)			        日期           地點		10/02(一)	10/03(二)	10/04(三)	10/05(四)	10/06(五)	10/07(六)	10/08(日)
室外場地	田徑場		田徑隊1700-2000 足球隊1800-2130	田徑隊1700-2000	中秋節	田徑隊1700-2000 足球隊1800-2130	田徑隊1700-2000				體育館本館	綜合球場	排3.籃東	男籃隊1730-2130	女排隊1730-2130	中秋節	女排隊1730-2130	女籃隊1730-2130		
	排球場	甲	不分系排1730-1930工管系排1930-2130	環安系排     1730-1930   營建系排1930-2130		企管系排1730-1930  營建系排1930-2130    	化材系排1930-2130						排2							
		乙	資工系排1730-1930化材系排1930-2130	視傳系排1930-2130		不分系排1730-1930 工設系排1930-2130	企管系排1930-2130						排1.籃西	女籃隊1730-2130	男排隊1730-2130		男排隊1730-2130			
		丙	預體育室 	預體育室 		預體育室 	預體育室 	預體育室 	預體育室 			羽球場	4F	羽球社        第6.8場        化材系羽  第5.7場        機械系羽         第1.3場       1930-2130	財金系羽  第5.7場1930-2130		機械系羽         第1.3.場           羽球社        第6.8場 化材系羽  第5.7場 企管系羽  第2.4場       環安系羽   第9場 財金系羽  第10場1930-2130			
		丁	國管系排1730-1930工設系排1930-2130	 創設系排1930-2130		創設系排1730-1930   應外系排1930-2130								第11.12場 預體育室 	第11.12場 預體育室 		第11.12場 預體育室 	第11.12場 預體育室 	第11.12場 預體育室 	第11.12場 預體育室 
		戊	營建系排1730-1930應外系排1930-2130	會計系排  1730-1930     資管系排1930-2130		資管系排1730-1930      工管系排1930-2130							5F							
		己	財金系排1730-1930        電機系排1930-2130	電子系排1930-2130		視傳系排1730-1930 電子系排1930-2130						選手村								
	籃球場	a	創設系籃1730-1930	建築系籃1730-1930     電機系籃1930-2130		財金系籃1730-1930資工系籃1930-2130						桌球教室			桌球隊1730-2130		桌球隊1730-2130			
		b	財金系籃1730-1930工設系籃1930-2130	男籃新生盃1730-2130		男籃新生盃1730-2130								第11.12場 預體育室 	第11.12場 預體育室 		第11.12場 預體育室 	第11.12場 預體育室 	第11.12場 預體育室 	第11.12場 預體育室 
		c	資工系籃1930-2130	男籃新生盃1730-2130		男籃新生盃1730-2130						韻律教室			熱舞社1830-2130					
		d	工管系籃1930-2130	男籃新生盃1730-2130		男籃新生盃1730-2130						柔道教室		柔道隊1800-2030				武藝社1830-2100		
		e	企管系籃1730-1930 環安系籃1930-2130	機械系籃1730-1930 國管系籃1930-2130		國管系籃1730-1930 電機系籃1930-2130						B2重訓室								
		f	不分系籃1930-2130	電子系籃1930-2130		工設系籃1730-1930 工管系籃1930-2130						游泳館			游泳隊         潛水隊 教職員1730-2030		游泳隊         潛水隊 教職員1730-2030			
		g	預體育室 	預體育室 		預體育室 	預體育室 	預體育室 	預體育室 			體適能中心								
		h	預體育室 	預體育室 		預體育室 	預體育室 	預體育室 	預體育室 			視聽教室	PD202	科法所1000-1200						
	司令台後方廣場											B1射箭場		射箭社1900-2100						
	棒壘球場							棒球隊0800-1800	棒球隊0800-1800			2F撞球桌								
	網球場	紅土	網球社1900-2130																	
		硬地																		
	溜冰場		溜冰社1900-2100	棒球隊  1800-2100		棒球隊  1800-2100														
